date,year,type,country,state,activity,sex,age,injury,species,source
2018-11-28,2018,Unprovoked,Australia,New South Wales,Board activities/sports,M,20s,Cut to left foot,Other,"K. McMurray, TrackingSharks.com"
2018-11-24,2018,Unprovoked,Usa,Florida,Board activities/sports,M,48,Lacerations to left foot,Other,"K. McMurray, TrackingSharks.com"
2018-11-18,2018,Unprovoked,Australia,Northern Territory ,Other,M,17,Severe lacerations to left arm and right leg,Other,"B. Myatt, GSAF, K. McMurray, TrackingSharks.com "
2018-11-17,2018,Unprovoked,Australia,New South Wales,Board activities/sports,M,24,Injuries to calf and hand,Other,"B. Myatt, GSAF"
2018-11-14,2018,Exogens,Australia,Queensland,Board activities/sports,M,31,"No injury to occupant, kayak bitten",Tiger Shark,"B. Myatt, GSAF, K.McMurray, TrackingSharks.com"
2018-11-11,2018,Unprovoked,South Africa,KwaZulu-Natal,Other,M,41,Surf-ski bitten but no injury to occupant,White Shark,"K. McMurray, TrackingSharks.com "
2018-11-11,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,20,Injuries to lower left leg and foot,Tiger Shark,"B. Myatt, GSAF & K. McMurray, TrackingSharks.com"
2018-11-09,2018,Unprovoked,Bahamas,Exumas,Swimming activities/sports,M,8,Arc of shallow lacerations to back,Other,"K. McMurray, TrackingSharks.com"
2018-11-07,2018,Unprovoked,Australia,New South Wales,Board activities/sports,M,42,20 cm injury to left calf,Other,"K. McMurray, TrackingSharks.com"
2018-11-05,2018,Unprovoked,Australia,Queensland,Swimming activities/sports,M,33,FATAL,Other,"ABC, 11/6/2018"
2018-11-03,2018,Unprovoked,Egypt,,Swimming activities/sports,M,,Calf muscle removed,White Shark,"M Shamala, S Al gaaly and K McMurray, TrackingSharks.com"
2018-10-24,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,,Knocked off board by a  shark.   No injury,Other,"Perth Now, 10/24/2018"
2018-10-23,2018,Unprovoked,Usa,Florida,Board activities/sports,F,,Injury to right foot,Other,"K. McMurray, TrackingSharks.com"
2018-10-23,2018,Unprovoked,Usa,Florida,Board activities/sports,M,29,Minor injury to toe,Other,"K. McMurray, TrackingSharks.com"
2018-10-23,2018,Unprovoked,Usa,California,Swimming activities/sports,M,,Injury to right hand / wrist,White Shark,"R. Collier GSAF and K. McMurray, TrackingSharks.com"
2018-10-19,2018,Unprovoked,Australia,New South Wales,Board activities/sports,M,50,Injury to upper right arm,Bull Shark,"B. Myatt, GSAF"
2018-10-19,2018,Unprovoked,New Zealand,North Island,Board activities/sports,M,25,Severe lacerations to arm and hand and cut to face,White Shark,"C. Black, GSAF and K. McMurray, TrackingSharks.com"
2018-10-16,2018,Exogens,Samoa,Upolo,Board activities/sports,M,,"No injury, tail of surf ski bitten off",Other,"Samoa Observer, 10/17/2018"
2018-10-13,2018,Unconfirmed,Australia,Western Australia,Other,M,,"No injury, claimed he was bumped by shark",White Shark,"Perth Now,  10/14/2018"
2018-10-11,2018,Unprovoked,Usa,Florida,Board activities/sports,F,,Black eye,Other,"Click Orlando, 10/12/2018"
2018-10-08,2018,Provoked,Australia,Queensland,Other,M,55,Injury to upper left arm by hooked shark PROVOKED INCIDENT,Other,"K. McMurray, Tracking Sharks.com"
2018-09-29,2018,Unprovoked,Usa,California,Swimming activities/sports,M,13,Traumatic injuries to upper torso,White Shark,"M. Michaelson, GSAF"
2018-09-28,2018,Unprovoked,Australia,Northern Territory ,Other,M,17,Knee bitten,Bull Shark,"Katherine Times, 9/30/2018"
2018-09-27,2018,Exogens,Usa,California,Other,M,55,"No injury, shark nicked kayak",White Shark,"R. Collier, GSAF"
2018-09-23,2018,Provoked,Fiji,Vanua Levu,Swimming activities/sports,M,30s,Abrasion to leg when he kicked the shark PROVOKED INCIDENT,Other,"Fiji Sun, 9/26/2018"
2018-09-23,2018,Unprovoked,Bahamas,Abaco Islands,Other,F,32,Lacerations to fingers,Black Shark,"M. Michaelson, GSAF and K. McMurray, Tracking Sharks.com"
2018-09-20,2018,Unconfirmed,Usa,Florida,Other,F,,Cuts to hand,Other,"First Coast News, 9/20/2018"
2018-09-19,2018,Unprovoked,Jamaica,St. Marys Parish,Other,M,43,FATAL,Other,"RJR,9/21/2018"
2018-09-20,2018,Unprovoked,Australia,Queensland,Swimming activities/sports,F,12,Serious injury to left thigh,Other,"B. Myatt, GSAF"
2018-09-19,2018,Unprovoked,Australia,Queensland,Swimming activities/sports,F,46,Serious injury to anterior right thigh,Other,"B. Myatt, GSAF"
2018-09-15,2018,Unprovoked,Usa,Massachusetts,Board activities/sports,M,26,FATAL,White Shark,"M. Michaelson, GSAF"
2018-09-08,2018,Unprovoked,Usa,Florida,Board activities/sports,M,39,Ankle bitten,Other,"Daytona Beach News-Journal, 9/9/2018"
2018-09-08,2018,Unprovoked,Usa,Hawaii,Board activities/sports,M,23,Right arm bitten,Tiger Shark," K. McMurray, Tracking Sharks.com"
2018-09-07,2018,Unprovoked,Usa,Florida,Board activities/sports,M,60s,Calf bitten,Other,"TC Palm, 9/7/2018"
2018-09-01,2018,Provoked,Ireland,County Cork,Other,M,40,Forearm bitten by hooked shark PROVOKED INCIDENT,Other,"Irish Examiner, 9/2/2018"
2018-08-28,2018,Unprovoked,Bahamas,,Swimming activities/sports,M,,Right foream bitten,Lemon Shark,"Infos-Israel.News, 8/28/2018 "
2018-08-24,2018,Unprovoked,Usa,California,Swimming activities/sports,M,14,Shark bumped chest but no injury ,Other," K. McMurray, Tracking Sharks.com"
2018-08-20,2018,Unprovoked,Bahamas,Abaco Islands,Other,M,29,Lacerations to head and neck,Other,"K. McMurray, TrackingSharks.com"
2018-08-18,2018,Unprovoked,Usa,North Carolina,Board activities/sports,M,14,Injury to right lower leg,Other,"M. Michaelson & C. Creswell, GSF, K. McMurray, Tracking Sharks.com"
2018-08-18,2018,Unprovoked,Italy,"Chieti, Province",Playing or floating in the water,M,24,Calf bitten,Other," K. McMurray, Tracking Sharks.com"
2018-08-15,2018,Unprovoked,Bahamas,Abaco Islands,Playing or floating in the water,F,56,Injury to lower left leg,Other,K. Inskip-Brooks
2018-08-15,2018,Unconfirmed,Usa,Maryland,Other,M,,Scratches to calf,Other,Facebook.com
2018-08-15,2018,Unprovoked,Usa,Massachusetts,Swimming activities/sports,M,61,"Lacerations to leg, hip and hand",White Shark,"M. Michaelson, GSAF"
2018-08-09,2018,Unprovoked,Usa,Texas,Other,M,42,Laceration to right leg above the knee,Bull Shark,"ABC.com, 8/9.2018"
2018-08-05,2018,Unprovoked,Usa,North Carolina,Playing or floating in the water,M,16,Injury to calf,Black Shark,D. Donohue
2018-08-05,2018,Unprovoked,Usa,North Carolina,Swimming activities/sports,F,a minor,Injury to right calf,Other,"K. McMurray, Tracking Sharks.com"
2018-08-03,2018,Unprovoked,Egypt,,Swimming activities/sports,M,42,FATAL,Tiger Shark,Ahaonline.cz
2018-07-29,2018,Unprovoked,Usa,Florida,Board activities/sports,M,14,Minor cuts to hand,Other,"Action News Jax, 7/30/2018"
2018-07-24,2018,Provoked,China,Guizhou Province,Fishing activities,F,6,Lacerations to fingers PROVOKED INCIDENT,Other,"Mail online, 7/26/2018"
2018-07-18,2018,Unprovoked,Usa,New York,Board activities/sports,M,13,Minor puncture wounds to leg,Tiger Shark,"S. Curatolo-Wageman, GSAF"
2018-07-18,2018,Unprovoked,Usa,New York,Other,F,12,Lacerations to lower leg,Tiger Shark,"S. Curatolo-Wageman, GSAF"
2018-07-16,2018,Unconfirmed,Usa,Texas,Board activities/sports,F,,Single laceration to right thigh inconsistent with shark bite,Other,"Click2Houston, 7/16/2018"
2018-07-15,2018,Unconfirmed,Colombia,San Andres and Providencia Archipelago,Other,M,62,"Autopsy confirmed death by drowning, shark bite were post-mortem",Other,"A. Velez, GSAF"
2018-07-14,2018,Provoked,Usa,California,Other,F,58, Surf washed the dying shark against her foot PROVOKED INCIDENT,Other,"KRCR News, 7/15/2018"
2018-07-14,2018,Unconfirmed,Usa,Florida,Board activities/sports,F,14,"Laceration to left thigh, possibly caused by surfboard ",Other,"Brevard Times, 7/14/2018"
2018-07-13,2018,Unprovoked,Usa,Florida,Other,M,17,Foot bitten,Other,"Kevin McMurray, TrackingSharks.com"
2018-07-13,2018,Unprovoked,Usa,Florida,Board activities/sports,M,30,Lacerations to left foot,Other,"Kevin McMurray, TrackingSharks.com"
2018-07-11,2018,Unprovoked,Usa,Florida,Board activities/sports,M,14,Minor injury to foot,Other,"WFTV, 7/11/2018"
2018-07-07,2018,Unconfirmed,Usa,Florida,Swimming activities/sports,M,,Injury to knee/lower leg,Other,"NBC Miami, 7/9/2018"
2018-07-02,2018,Unprovoked,Usa,South Carolina,Board activities/sports,F,11,"Minor injury, puncture marks to left lower leg",Other,"Kevin McMurray, TrackingSharks.com"
2018-06-25,2018,Exogens,Usa,California,Other,F,57,"No injury to occupant, outrigger canoe and paddle damaged",White Shark,"R. Collier, GSAF"
2018-06-18,2018,Provoked,Usa,Florida,Other,M,,Injury to fingers while removing hook from shark          PROVOKED INCIDENT,Other,"Kevin McMurray, TrackingSharks.com"
2018-06-18,2018,Unprovoked,Usa,Georgia,Playing or floating in the water,F,11,Minor injury to left thigh,Other,"K.McMurray, TrackingSharks.com"
2018-06-09,2018,Unconfirmed,Usa,Hawaii,Board activities/sports,M,48,Injury to left lower leg from surfboard skeg,Other,"K.McMurray, TrackingSharks.com"
2018-06-08,2018,Unprovoked,Australia,New South Wales,Board activities/sports,M,,Minor injury to lower leg,Other,"B. Myatt, GSAF"
2018-06-04,2018,Provoked,Mexico,Colima,Swimming activities/sports,M,,Lacerations to leg & hand PROVOKED INCIDENT,Tiger Shark,A .Kipper
2018-06-03,2018,Unprovoked,Australia,New South Wales,Board activities/sports,M,,"No injury, board bitten",Other,"Daily Telegraph, 6/4/2018"
2018-06-03,2018,Unprovoked,Brazil,Pernambuco,Swimming activities/sports,M,18,FATAL,Tiger Shark,"Diario de Pernambuco, 6/4/2018"
2018-05-27,2018,Provoked,Usa,Florida,Other,M,52,Minor injury to foot. PROVOKED INCIDENT,Lemon Shark,"K. McMurray, TrackingSharks.com"
2018-05-26,2018,Unprovoked,Usa,Florida,Other,M,15,Lower left leg bitten,Bull Shark,"K.McMurray, TrackingSharks.com"
2018-05-26,2018,Unprovoked,Usa,Florida,Playing or floating in the water,M,12,Minor injury to foot,Other,"K. McMurray, Tracking Sharks.com"
2018-05-24,2018,Provoked,Australia,Queensland,Fishing activities,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,Other,"ABC.net.au ,05/24/2018"
2018-05-21,2018,Unprovoked,Usa,South Carolina,Board activities/sports,M,10,Injuries to lower right leg and foot,Other,"C. Creswell, GSAF"
2018-05-13,2018,Unprovoked,Usa,South Carolina,Swimming activities/sports,M,10,Severe bite to right forearm,Other,"C. Creswell, GSAF & K. McMurray TrackingSharks.com"
2018-05-13,2018,Unconfirmed,England,Cornwall,Other,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,Other,"K. McMurray, TrackingSharks.com"
2018-05-12,2018,Unprovoked,South Africa,Eastern Cape Province,Board activities/sports,M,,"Minor injury, marks on board",Other,"B.Jacob, Dispatch Live, 5/12/2018"
2018-05-09,2018,Unconfirmed,Australia,New South Wales,Board activities/sports,M,,"No injury, surfboard damaged",Other,"B. Myatt, GSAF"
2018-04-30,2018,Unprovoked,Thailand,Hua Hin,Swimming activities/sports,M,,Minor injury to ankle,Other,"K. McMurray, TrackingSharks.com"
2018-04-28,2018,Provoked,Usa,Texas,Other,M,,Forearm bitten by hooked shark PROVOKED INCIDENT,Tiger Shark,"K. McMurray, TrackingSharks.com"
2018-04-28,2018,Unprovoked,Costa Rica,Cocos Island,Swimming activities/sports,M,30,"No injury, shark bit scuba gear",Tiger Shark,Costa Rica Star. 4/28/2018
2018-04-28,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,,"No injury, knocked off board by shark",Other,"B. Myatt, GSAF"
2018-04-25,2018,Unconfirmed,Australia,New South Wales,Board activities/sports,M,,No injury,Other,"B. Myatt, GSAF"
2018-04-25,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,60,"No injury, knocked off board by shark",Other,"B.Myatt, GSAF"
2018-04-24,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,,"No injury, shark struck his leg",White Shark,"B. Myatt, GSAF"
2018-04-23,2018,Unprovoked,Maldives,Alifu Alifu Atoll,Other,M,32,5-inch cut to hand,Tiger Shark,"K. McMurray, TrackingSharks.com"
2018-04-22,2018,Unprovoked,South Africa,Western Cape Province,Board activities/sports,M,33,"No injury, shark bit hole in ski",White Shark,"Africa News Agency, 4/22/2018"
2018-04-19,2018,Unprovoked,Usa,Hawaii,Board activities/sports,M,29,Lacerations to right lower leg,Other,"The Garden Island, 4/19/2018"
2018-04-15,2018,Unprovoked,Thailand,Hua Hin,Swimming activities/sports,M,54,Lacerations to foot and ankle,Bull Shark,"Straits Times, 4/16/2018"
2018-04-15,2018,Unprovoked,Brazil,Pernambuco,Swimming activities/sports,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",Other,"Globo, 4/16/2018"
2018-04-15,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,41,Laceration to right thigh,Other,"B.Myatt, GSAF"
2018-04-15,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,37,Lacerations to legs,Other,"B.Myatt, GSAF"
2018-04-14,2018,Unprovoked,Bahamas,New Providence,Board activities/sports,M,,No Injury. Shark swam away with the surf board,Tiger Shark,"Tribune242,"
2018-04-10,2018,Unconfirmed,Brazil,Alagoas,Other,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,Other,"K. McMurray, TrackingSharks.com"
2018-04-09,2018,Unprovoked,New Caledonia,,Board activities/sports,M,17,"No injury, shark bit board",Other,"Les Nouvelles Caledoniennes, 4/10/2018"
2018-04-05,2018,Unprovoked,Bahamas,,Swimming activities/sports,M,12,"2 puncture wounds to left foot, abrasion to right foot",Bull Shark,"K. McMurray, TrackingSharks.com"
2018-04-03,2018,Unprovoked,South Africa,Eastern Cape Province,Board activities/sports,M,19,Lacerations to left knee & lower leg,White Shark,"K. McMurray, TrackingSharks.com"
2018-03-31,2018,Unprovoked,Usa,Hawaii,Board activities/sports,M,25,"Lacerations to right hand and arm, loss of right leg below the knee",Tiger Shark,"Khon2, 3/31/2018"
2018-03-14,2018,Unprovoked,Australia,Western Australia,Other,M,10,Minor injuries to legs,Other,"B. Myatt, GSAF"
2018-03-09,2018,Unprovoked,Australia,Victoria,Swimming activities/sports,M,69,"No injury, said to have been charged by sharks several times",Other,"B. Myatt, GSAF"
2018-03-09,2018,Unprovoked,Australia,Victoria,Board activities/sports,M,18,"Minor injury, ankle grazed",Other,"B. Myatt, GSAF"
2018-02-24,2018,Unprovoked,South Africa,KwaZulu-Natal,Swimming activities/sports,M,38, The shark & man simply collided; neither were injured,Black Shark,"International Business Times, 3/1/2018"
2018-02-23,2018,Unprovoked,Australia,New South Wales,Swimming activities/sports,F,55,Laceratons to right leg & foot,White Shark,"B. Myatt, GSAF"
2018-02-18,2018,Provoked,Australia,Victoria,Other,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",Other,"B. Myatt, GSAF"
2018-02-15,2018,Unprovoked,Australia,New South Wales,Other,M,35,Puncture wounds to leff foot & lower leg,Bull Shark,"B. Myatt, GSAF"
2018-02-14,2018,Unconfirmed,Australia,Queensland,Swimming activities/sports,F,,"Collision with marine animal / No injury, no attack",Other,"Sunshine Coast Daily, 2/15/2018"
2018-02-11,2018,Unconfirmed,Brazil,"Boi Island, Victoria",Other,F,46,Lacerations to 4 toes of right foot,Other,TrackingSharks.com
2018-02-03,2018,Unprovoked,Ecuador,Galapagos Islands,Swimming activities/sports,M,45,Injuries to right foot,Other,"The Standard (UK), 2/6/2018"
2018-02-01,2018,Unconfirmed,Australia,Western Australia,Other,M,14,"No injury no attack. This is considerd an ""encounter""",Other,"The West Australian, 2/2/2018"
2018-01-28,2018,Unprovoked,Australia,Western Australia,Other,M,18,Injuries to right leg,Bull Shark,"ABC.net.au, 01/28/2018"
2018-01-21,2018,Unprovoked,New Caledonia,,Other,M,40s,Injuries to abdomen and arm,Bull Shark,TrackingSharks.com
2018-01-14,2018,Unprovoked,Australia,Queensland,Swimming activities/sports,M,,Severe laceration to left forearm,Other,"B. Myatt, GSAF"
2018-01-13,2018,Unprovoked,Australia,New South Wales,Swimming activities/sports,M,28,"No injury, shark took his swimfin",White Shark,"B. Myatt, GSAF"
2018-01-12,2018,Unprovoked,Brazil,Fernando de Noronha,Board activities/sports,M,20,Minor injury to left forearm,Other,TrackingSharks.com
2018-01-05,2018,Unprovoked,Australia,Western Australia,Board activities/sports,M,,Foot bitten,Other,"Perth Now, 1/6/2018"
2017-12-31,2017,Unprovoked,Usa,Hawaii,Board activities/sports,F,54,Severe lacerations to left thigh & knee,Tiger Shark,"J. Howard, Surfling Now, 1/2/2018"
2017-12-30,2017,Unprovoked,Usa,California,Board activities/sports,F,35,Foot bitten,Other,R. Collier
2017-12-21,2017,Provoked,Malaysia,Sepang,Other,M,24,"Minor injury to thigh, PROVOKED INCIDENT",Other,TrackingSharks.com
2017-12-09,2017,Unprovoked,Bahamas,,Swimming activities/sports,F,25,Minor injury to arm,Other,"Daily Star, 12/11/2017"
2017-11-30,2017,Unprovoked,Costa Rica,Cocos Island,Swimming activities/sports,M,26,Serious injury to leg,Tiger Shark,R. Arauz
2017-11-30,2017,Unprovoked,Costa Rica,Cocos Island,Swimming activities/sports,F,49,FATAL,Tiger Shark,R. Arauz
2017-11-25,2017,Exogens,Libya,,Boat activities,,,FATAL,Other,"TG Com 24, 11/25/2017"
2017-11-24,2017,Unprovoked,Usa,California,Other,M,25,Right leg bitten,White Shark,"R. Collier, GSAF"
2017-11-18,2017,Unprovoked,Usa,Florida,Board activities/sports,F,14,Heel bitten,Other,"Florida Today, 11/21/2017"
2017-11-13,2017,Unprovoked,,,Board activities/sports,M,24,Puncture wounds to feet,Other,Instagram
2017-11-13,2017,Unprovoked,Australia,New South Wales,Board activities/sports,M,25,Puncture wounds to left shoulder,Other,"B. Myatt, GSAF"
2017-11-04,2017,Unprovoked,Cuba,Holquin Province,Playing or floating in the water,M,22,FATAL,Tiger Shark,TrackingSharks.com
2017-11-02,2017,Unprovoked,Usa,Hawaii,Board activities/sports,M,20s,Minor cuts to lower left leg,Other,"Star Advertiser, 11/2/2017"
2017-10-31,2017,Unprovoked,Australia,Queensland,Swimming activities/sports,M,7,Calf injured,Other,"Townsville Bulletin, 10/31/2017"
2017-10-28,2017,Unprovoked,Australia,New South Wales,Board activities/sports,M,31,Minor injury to foot,Other,"B. Myatt, GSAF"
2017-10-26,2017,Unprovoked,Usa,Hawaii,Board activities/sports,M,,No injury but shark bit SUP,Other,"Hawaii News Now, 10/27/2017"
2017-10-23,2017,Unprovoked,Mauritius,Pamplemousses ,Swimming activities/sports,M,,Minor injury to foot,Other,"J. LeBlanc, GSAF"
2017-10-23,2017,Unprovoked,Usa,Florida,Board activities/sports,M,17,Lacerations to left foot,Other,"WPBF News, 10/24/2017"
2017-10-23,2017,Unprovoked,Usa,Florida,Swimming activities/sports,F,60,Severe lacerations to left hand & wrist,Other,"Palm Beach Post, 11/1/2017"
2017-10-22,2017,Unprovoked,Australia,South Australia,Board activities/sports,F,15,Minor injuries,White Shark,"Nine News, 10/22/2017"
2017-10-21,2017,Exogens,New Zealand,North Island,Board activities/sports,M,,"No injury, shark shook kayak x3 ",Other,"New Zealand Herald, 10/22/2017"
2017-10-18,2017,Unprovoked,Usa,Florida,Swimming activities/sports,M,,Puncture wounds & lacerations to foot,Other,"WPTV, 10/19/2017"
2017-10-09,2017,Unprovoked,Usa,Hawaii,Board activities/sports,M,54,Lacerations to left hand,Tiger Shark,"Hawaii News Now, 10/10/2017"
2017-10-05,2017,Unprovoked,Usa,Hawaii,Swimming activities/sports,F,40,Abrasions,Other,"Maui Now, 10/5/2017"
2017-10-01,2017,Unconfirmed,South Africa,Western Cape Province,Swimming activities/sports,M,31,"FATAL, but death was probably due to drowning",Other,"All Africa, 10/11/2017 "
2017-09-25,2017,Unprovoked,Usa,Florida,Board activities/sports,M,,Lacerations to lower left leg and foot,Other,"News4Jax, 9/26/2017"
2017-09-25,2017,Unprovoked,Australia,Western Australia,Board activities/sports,M,,"No injury, board damaged by shark",White Shark,"Stab Magazine, 9/26/2017"
2017-09-24,2017,Unconfirmed,Usa,New York,Board activities/sports,M,33,"Lacerations to right ankle, foot & toe",Other,"S. Curatolo-Wageman, GSAF"
2017-09-24,2017,Unprovoked,Usa,Florida,Board activities/sports,M,,Laceration to upper arm,Other,"Sun Sentinel, 9/24/2017"
2017-09-20,2017,Unprovoked,Usa,Florida,Board activities/sports,M,,Minor lacerations to sole of left foot,Other,"WPTV, 9/25/2017"
2017-09-16,2017,Unprovoked,Spain,Canary Islands,Board activities/sports,M,13,Lacerations to right foot,Other,Turismo La Aldea
2017-09-16,2017,Unprovoked,Usa,Florida,Board activities/sports,M,28,Lacerations to left foot,Other,"Orlando Sentinel, 9/16/2017"
2017-09-15,2017,Unconfirmed,South Africa,Western Cape Province,Swimming activities/sports,M,25,"FATAL, but death was probably due to drowning",Other,"Ground Up, 9/20/2017"
2017-09-15,2017,,Samoa, Upolu Island,Other,M,,Injuries to hands and legs,Other,"Samoa Observer, 9/16/2017"
2017-09-13,2017,Unprovoked,Usa,Florida,Board activities/sports,M,18,Lacerations to left foot,Other,"TrackingSharks.com, 10/22/2017"
2017-09-10,2017,Unprovoked,Australia,Westerm Australia,Swimming activities/sports,M,,Minor injuries,Other,"West Australian, 9/11/2017"
2017-09-10,2017,Unprovoked,Australia,New South Wales,Board activities/sports,M,35,Minor lacerations to right hip,White Shark,"B. Myatt, GSAF"
2017-09-06,2017,Unprovoked,Solomon Islands,,Other,M,,Foot bitten,Other,BBC
2017-09-03,2017,Unprovoked,South Africa,Western Cape Province,Swimming activities/sports,M,,FATAL,Other,"All Africa, 10/11/2017"
2017-09-03,2017,Unprovoked,Japan,Shizuoka Prefecture,Board activities/sports,M,42,Injury to ankle & feet,Other,"Japan Today, 9/4/2017"
2017-09-02,2017,Unprovoked,Usa,Florida,Swimming activities/sports,M,,Lacerations to abdomen,Other,NewsFlare
2017-09-02,2017,Unprovoked,Usa,Texas,Swimming activities/sports,F,,Lacerations to foot,Other,"Brownsville Herald, 9/5/2017"
2017-09-02,2017,Unprovoked,Usa,Florida,Board activities/sports,M,17,Minor injury to right hand,Other,"Click Orlando, 9/2/2017"
2017-08-29,2017,Unprovoked,Australia,Victoria,Board activities/sports,M,37,"No injury, board bitten",White Shark,"B. Myatt, GSAF"
2017-08-27,2017,Unprovoked,Usa,Florida,Other,F,3,Leg injured,Other,"Sun Sentinel, 8/27/2017"
2017-08-26,2017,Unconfirmed,Spain,Castellón,Swimming activities/sports,F,11,Lacerations to left foot,Other,"El Periodico Mediterraneo, 8/27/2017"
2017-08-26,2017,Exogens,New Zealand,North Island,Other,M,,"No injury, shark bit canoe",Other,"C.Black, GSAF"
2017-08-23,2017,Unprovoked,Usa,Massachusetts,Other,M,69,Not injured by shark but board bitten,White Shark,"Cape Cod Times, 8/23/2017"
2017-08-18,2017,Unprovoked,Bahamas,,Other,M,,Hand injured,Other,"CBS12, 8/18/2017"
2017-08-10,2017,Unprovoked,Usa,South Carolina,Swimming activities/sports,M,13,Minor cuts to sole & toes of left foot,Black Shark,"C. Creswell, GSAF"
2017-08-05,2017,Unprovoked,Egypt,Red Sea Protectorate,Swimming activities/sports,F,20,Bite to right leg/hip,White Shark,"Egyptian government, 8/5/2017"
2017-08-03,2017,Provoked,Usa,Massachusetts,Other,M,34,Foot bitten by landed shark PROVOKED INCIDENT,Other,"MassLive, 8/4/2017"
2017-08-01,2017,Exogens,Usa,California,Other,M,,"No injury, bow of kayak bitten",White Shark,"R. Collier, GSAF"
2017-07-31,2017,Unprovoked,Usa,Florida,Board activities/sports,M,15,Lacerations to lower leg,Other,"K. McMurray, Tracking Sharks"
2017-07-29,2017,Unconfirmed,Usa,South Carolina,Swimming activities/sports,M,10,Abrasions and cuts to sole of foot,Other,"C. Creswell, GSAF"
2017-07-29,2017,Unprovoked,Usa,South Carolina,Other,F,12,Bite to left thigh / minor injury,Other,"C. Creswell, GSAF"
2017-07-27,2017,Unprovoked,Bahamas,New Providence District,Swimming activities/sports,F,,Foot & ankle injured,Other,"R. Rolle, Tribune 242,  7/28/2017"
2017-07-26,2017,Unprovoked,Bahamas,40 miles off Grand Bahama Island,Other,M,,Severe lacerations to left hand,Other,"RevistaJaraysedal.es, 7/26/2017"
2017-07-24,2017,Unprovoked,England,Ascension Island,Board activities/sports,M,37,Torso bitten,Other,"Telegraph UK, 7/28/2017"
2017-07-23,2017,Unprovoked,Usa,New Jersey,Other,F,,Minor injury to hand,Tiger Shark,A. Smith
2017-07-23,2017,Unprovoked,Spain,Majorca,Swimming activities/sports,F,,Abrasion to arm from shark's rough skin,Other,"Daily Record, 7/24/2017"
2017-07-22,2017,Unprovoked,Usa,Florida,Other,F,40,Foot bitten,Other,"NBC Miami, 7/23/2017"
2017-07-20,2017,Unconfirmed,Usa,South Carolina,Swimming activities/sports,F,8,Foot injured,Other,"C. Creswell, GSAF"
2017-07-20,2017,Exogens,Usa,California,Board activities/sports,M,40,"No injury, kayak bitten",White Shark,"R. Collier, GSAF"
2017-07-20,2017,Unprovoked,Usa,California,Other,M,50,"No injury, shark bit paddleboard",White Shark,"R. Collier, GSAF"
2017-07-14,2017,Unprovoked,Usa,Washington,Board activities/sports,M,,Pulled off board by shark but no injury,White Shark,"R. Collier, GSAF"
2017-07-14,2017,Unprovoked,Australia,Western Australia,Board activities/sports,M,,"Minor injury, grazed by shark",Other,
2017-07-11,2017,Exogens,Usa,California,Board activities/sports,M,,"No injury, kayak bitten",White Shark,"R. Collier, GSAF"
2017-07-09,2017,Unprovoked,Usa,Florida,Swimming activities/sports,M,46,Lower legs bitten,Bull Shark,"Miami-Beach Patch, 7/9/2017"
2017-07-07,2017,Provoked,Mexico,Tabasco,Other,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,Tiger Shark,"Tabasco Hoy, 7/7/2017"
2017-07-07,2017,Unprovoked,South Africa,Eastern Cape Province,Board activities/sports,F,13,"No injury, shark bit surfboard",White Shark,"Dispatch Live, 7/7/2027"
2017-07-02,2017,Unconfirmed,Comoros,Anjouan,Other,,,"Skull found in shark, a probable drowning & scavenging",Other,"Linfo, 7/3/2017"
2017-06-29,2017,Unconfirmed,Usa,South Carolina,Other,M,,"Arm injured by hook, not by a shark",Other,"C. Creswell, GSAF"
2017-06-21,2017,Unprovoked,Usa,South Carolina,Swimming activities/sports,F,16,Left foot bitten,Other,"C. Creswell, GSAF"
2017-06-19,2017,Unprovoked,Usa,Florida,Board activities/sports,M,,1 to 2-inch laceration behind knee,Other,"CBS12, 6/19/2017"
2017-06-18,2017,Unprovoked,Usa,South Carolina,Swimming activities/sports,F,14,Leg bitten,Bull Shark,"C. Creswell, GSAF"
2017-06-18,2017,Unprovoked,Reunion,,Board activities/sports,M,34,"No injury, shark bit surfboard ",Bull Shark,"Clincanoo, 6/19/2017"
2017-06-17,2017,Unprovoked,Spain,Ibiza Island,Swimming activities/sports,M,82,2-inch laceration to hand,Other,"Diario de Ibiza, 6/17/'2017"
2017-06-14,2017,Unprovoked,Bahamas,,Fishing activities,F,,Fingernail pulled off ,Other,"AOL.UK, 6/14/2017"
2017-06-11,2017,Unprovoked,Australia,Western Australia,Board activities/sports,M,48,"No injury, board bitten",White Shark,"WA Today, 6/11/2017"
